source_key,url
S1_Koks_2019_Nature,https://www.nature.com/articles/s41467-019-10442-3
S1b_Koks_2019_supplement,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-019-10442-3/MediaObjects/41467_2019_10442_MOESM1_ESM.pdf
S2_CHIRPS_daily,https://developers.google.com/earth-engine/datasets/catalog/UCSB-CHG_CHIRPS_DAILY
S3_ERA5_Land,https://cds.climate.copernicus.eu/datasets/reanalysis-era5-land
S4_Pregnolato_2017_flood_depth_disruption,https://www.sciencedirect.com/science/article/pii/S1361920916308367
S5_Kramer_2016_inundated_roads,https://deltaexpertise.nl/images/f/f2/Kramer_2016_Safety_criteria_for_the_trafficability_of_inundated_roads_in_urban.pdf
S6_Copernicus_GFM_manual,https://extwiki.eodc.eu/gfm_assets/gfm4.0_pum_2025.pdf
S7_Betterle_2024_flood_depth_from_extent,https://nhess.copernicus.org/articles/24/2817/2024/
S8_Tsapakis_2013_weather_travel_time,https://www.sciencedirect.com/science/article/pii/S0966692312002694
S9_Chung_2012_weather_capacity,https://www.sciencedirect.com/science/article/abs/pii/S0967070X11001144
S10_FHWA_pavement_resilience,https://www.fhwa.dot.gov/pavement/concrete/pubs/hif23006.pdf
S11_FAO_drainage_design,https://www.fao.org/4/t0099e/t0099e04.htm
S12_FAO_protective_measures,https://www.fao.org/4/T0099E/T0099e01.htm
S13_UNEP_WMO_dust_assessment,https://wesr.unep.org/media/docs/assessments/global_assessment_of_sand_and_dust_stormsx.pdf
S14_UNDRR_dust_sandstorm_limits,https://www.undrr.org/understanding-disaster-risk/terminology/hips/mh0201
S15_Unpaved_road_erosion_2024,https://bioone.org/journals/air-soil-and-water-research/volume-17/issue-1/11786221241272396/Erosion-Mechanisms-in-Unpaved-Roads--Effects-of-Slope-Rainfall/10.1177/11786221241272396.full
